Title,Category ,Genre,Author ,Website,Good reads rating ,Published,Rank,Author Ethnicity,Language
Pride and Prejudice ,Fiction,Romance,Jane Austen ,https://www.whitcoulls.co.nz/recommends/top-100?s=SEQUENCE&p=1,4 stars,27.06.2017,#13,Western/Northern European,English 
Powerless ,Fiction,Dystopia,Lauren Roberts ,https://www.whitcoulls.co.nz/recommends/top-100?s=SEQUENCE,4 stars,31.01.2023,#14,Unknown,English 
Lessons In Chemistry ,Fiction,Historical,Bonnie Garmus ,https://www.whitcoulls.co.nz/recommends/top-100?s=SEQUENCE,4 stars,02.03.2023,#15,White (North American),English 
See How they Fall ,Fiction,Mystery ,Rachel Paris ,https://www.whitcoulls.co.nz/recommends/top-100?s=SEQUENCE,4 stars,29.04.2025,#16,Western/Northern European,English 
Where the Crawdads sing ,Fiction,Historical,Delia Owens ,https://www.whitcoulls.co.nz/recommends/top-100?s=SEQUENCE,4.5 stars,14.08.2018,#17,White (North American),English 
The Seven Husbands of Evelyn Hugo ,Fiction,Romance,Taylor Jenkins Reid ,https://www.whitcoulls.co.nz/recommends/top-100?s=SEQUENCE,4.5 stars,13.06.2017,#18,White (North American),English 
Fae and Alchemy: Quicksilver ,Fiction,Fantasy,Callie Hart ,https://www.whitcoulls.co.nz/recommends/top-100?s=SEQUENCE,4 stars,03.12.2024,#19,Western/Northern European,English 
The Let Them Theory ,Non- fiction ,Self Help,Mel Robbins ,https://www.whitcoulls.co.nz/recommends/top-100?s=SEQUENCE,4 stars,24.12.2025,#20,White (North American),English 
The Housemaid ,Fiction,Thriller ,Freida McFadden ,https://www.whitcoulls.co.nz/recommends/top-100?s=SEQUENCE,4 stars,26.04.2022,#21,White (North American),English 
Verity ,Fiction,Thriller ,Colleen Hoover ,https://www.whitcoulls.co.nz/recommends/top-100?s=SEQUENCE,4 stars,05.10.2021,#22,White (North American),English 
The Secret History ,Fiction,Mystery ,Donna Tart ,https://www.whitcoulls.co.nz/recommends/top-100?s=SEQUENCE,4 stars,13.04.2004,#23,White (North American),English 
Fungi of Aotearoa ,Non- fiction ,Educational,Liv Sisson,https://www.whitcoulls.co.nz/recommends/top-100?s=SEQUENCE,5 stars,02.05.2023,#24,White (North American),English 
Ignite Me ,Fiction,Sci-fi,Mafi Tahereh,https://www.whitcoulls.co.nz/recommends/top-100?s=SEQUENCE,4.5 stars,04.02.2014,#25,Western Asia,English 
To Kill a Mockingbird ,Fiction,Thriller,Harper Lee,https://www.whitcoulls.co.nz/recommends/top-100?s=SEQUENCE,4.5 stars,17.01.1995,#26,Western/Northern European,English 
Twisted Love ,Fiction,Romance,Ana Huang ,https://www.whitcoulls.co.nz/recommends/top-100?s=SEQUENCE,4 stars,27.09.2022,#27,East Asian ,English 
The Book thief ,Fiction,Historical,Zusak Markus,https://www.whitcoulls.co.nz/recommends/top-100?s=SEQUENCE,4.5 stars,01.09.2005,#28,Western/Northern European,English 
Jack Reacher In too Deep ,Fiction,Thriller,Lee and Andrew Child ,https://www.whitcoulls.co.nz/recommends/top-100?s=SEQUENCE,4 stars,22.10.2024,#29,Western/Northern European,English 
The Song of Achilles ,Fiction,Romance,Madeline Miller ,https://www.whitcoulls.co.nz/recommends/top-100?s=SEQUENCE,4 stars,28.08.2012,#30,White (North American),English 
Holy Bible ,Non- fiction ,Other,Zondervan ,https://www.whitcoulls.co.nz/recommends/top-100?s=SEQUENCE,4.5 stars,15.01.2008,#31,White (North American),English 
The Lord of The Rings: The fellowship of the ring ,Fiction,Fantasy,Tolkien J.R.R,https://www.whitcoulls.co.nz/recommends/top-100?s=SEQUENCE,4.5 stars,06.07.2022,#32,Western/Northern European,English 
Once Upon A Broken Heart ,Fiction,Fantasy,Stephanie Garber ,https://www.whitcoulls.co.nz/recommends/top-100?s=SEQUENCE,4 stars,28.09.2021,#33,White (North American),English 
The Silent Patient ,Fiction,Thriller,Alex Michaelides ,https://www.whitcoulls.co.nz/recommends/top-100?s=SEQUENCE,4 stars,05.02.2019,#34,Mixed,English 
Six Crows ,Fiction,Fantasy, Leigh Bardugo,https://www.whitcoulls.co.nz/recommends/top-100?s=SEQUENCE,4.5 stars,12.07.2016,#35,White (North American),English 
The Ministry of Time ,Fiction,Sci-fi,Kailane Bradley ,https://www.whitcoulls.co.nz/recommends/top-100?s=SEQUENCE,3.5 stars,08.04.2025,#36,Mixed,English 
It Ends With Us,Fiction,Romance,Colleen Hoover ,https://www.whitcoulls.co.nz/recommends/top-100?s=SEQUENCE,4 stars,18.04.2023,#37,White (North American),English 
Normal People ,Fiction,Romance,Salley Rooney ,https://www.whitcoulls.co.nz/recommends/top-100?s=SEQUENCE,4 stars,16.04.2019,#38,Western/Northern European,English 
KingMaker ,Non- fiction ,Historical,Sonia Purnell ,https://www.whitcoulls.co.nz/recommends/top-100?s=SEQUENCE,4 stars,17.09.2024,#39,Western/Northern European,English 
One Dark Window ,Fiction,Fantasy,Rachel Gillig ,https://www.whitcoulls.co.nz/recommends/top-100?s=SEQUENCE,4 stars,27.09.2023,#40,White (North American),English 
The Covenant of Water ,Fiction,Historical,Abraham Verghese,https://www.whitcoulls.co.nz/recommends/top-100?s=SEQUENCE,4.5 stars,06.05.2025,#41,South Asian ,English 
All the Light We Cannot see ,Fiction,Historical,Anthony Doerr ,https://www.whitcoulls.co.nz/recommends/top-100?s=SEQUENCE,4 stars,06.05.2014,#42,White (North American),English 
The Folk of the Air #01: The Cruel Prince,Fiction,Fantasy,Holly Black ,https://www.whitcoulls.co.nz/recommends/top-100?s=SEQUENCE,4 stars,02.01.2018,#43,White (North American),English 
Atomic Habits ,Non- fiction ,Coming-of-Age,James Clear,https://www.whitcoulls.co.nz/recommends/top-100?s=SEQUENCE,4 stars,16.10.2018,#44,White (North American),English 
Tomorrow and Tomorrow and Tomorrow,Fiction,Coming-of-Age,Gabrielle Zevin ,https://www.whitcoulls.co.nz/recommends/top-100?s=SEQUENCE,3.5 stars,10.07.2014,#45,Mixed,English 
Edmounds CookBook (revised) ,Non- fiction ,Other,Goodman Fielder,https://www.whitcoulls.co.nz/recommends/top-100?s=SEQUENCE,5 stars,27.09.2016,#46,White (Oceanic),English 
One Hundred Years of Betty ,Fiction,Historical,Debra Oswald ,https://www.whitcoulls.co.nz/recommends/top-100?s=SEQUENCE,4 stars,04.03.2025,#47,White (Oceanic),English 
Chestnut Springs: Flawless ,Fiction,Romance, Elsie Silver,https://www.whitcoulls.co.nz/recommends/top-100?s=SEQUENCE,4 stars,29.08.2023,#48,White (North American),English 
The Last Secret Agent ,Fiction,Thriller,Latour & Dobson,https://www.whitcoulls.co.nz/recommends/top-100?s=SEQUENCE,4.5 stars,13.05.2025,#49,Western/Northern European,English 
A Court of Thorns and Roses 6 ,Fiction,Fantasy,Sarah.J.Maas,https://www.barnesandnoble.com/b/books/_/N-1fZ29Z8q8 ,4.5 stars,27.10.2026,#1,White (North American),English 
A Court of Thorns and Roses 7,Fiction,Fantasy,Sarah.J.Maas,https://www.barnesandnoble.com/b/books/_/N-1fZ29Z8q88 ,4 stars,12.01.2026,#2,White (North American),English 
The Vanishing Cherry Blossom Bookshop (B&N Exclusive Edition),Fiction,Fantasy,"
Takuya Asakura",https://www.barnesandnoble.com/b/books/_/N-1fZ29Z8q8 ,3.5 stars,03.02.2026,#3,East Asian ,English 
Theo of Golden A Novel,Fiction,Lit-Fic,Allen Levi,https://www.barnesandnoble.com/b/books/_/N-1fZ29Z8q8 ,4.5 stars,03.10.2025,#4,White (North American),English 
Project Hail Mary,Fiction,Sci-fi,Andy Weir,https://www.barnesandnoble.com/b/books/_/N-1fZ29Z8q8 ,1 star,04.10.2022,#5,Unknown,English 
Heated Rivalry ,Fiction,Romance,Rachel Reid ,https://www.barnesandnoble.com/b/books/_/N-1fZ29Z8q8 ,4.5 stars,26.11.2024,#6,White (North American),English 
Mother Bruce,Fiction,Other,Ryan T higgins,https://www.barnesandnoble.com/b/books/_/N-1fZ29Z8q8 ,4.5 stars,17.02.2026,#7,White (North American),English 
The Correspondent A Novel,Fiction,Lit-Fic,Virginia Evans,https://www.barnesandnoble.com/b/books/_/N-1fZ29Z8q8 ,4.5 stars,29.04.2025,#8,White (North American),English 
Judge Stone A Novel,Fiction,Thriller ," James Patterson, Viola Davis",https://www.barnesandnoble.com/b/books/_/N-1fZ29Z8q8 ,4.5 stars,09.03.2026,#9,Western/Northern European,English 
Wuthering Heights,Fiction,Historical,Emily Bronte,https://www.barnesandnoble.com/b/books/_/N-1fZ29Z8q8 ,4 stars,24.11.1847,#10,Western/Northern European,English 
Strange Buildings A Novel ,Fiction,Mystery ," Uketsu",https://www.barnesandnoble.com/b/books/_/N-1fZ29Z8q8 ,4 stars,12.15.2023,#11,East Asian ,Japanese- English translation
The Let Them Theory,Non- fiction ,Self Help,"Mel Robbins, Sawyer Robbins",https://www.barnesandnoble.com/b/books/_/N-1fZ29Z8q8 ,4 stars,24.12.2024,#12,White (North American),English 
Dungeon Crawler Carl ,Fiction,Thriller ,Matt Dinniman,https://www.barnesandnoble.com/b/books/_/N-1fZ29Z8q8 ,4.5 stars,30.12.2025,#13,White (North American),English 
The Hybrid Prince,Fiction,Fantasy,Tui T. Sutherland,https://www.barnesandnoble.com/b/books/_/N-1fZ29Z8q8,4.5 stars,31.12.2025,#14,White (Oceanic),English 
The Long Game ,Fiction,Fantasy,Rachel Reid ,https://www.barnesandnoble.com/b/books/_/N-1fZ29Z8q8 ,4.5 stars,01.01.2026,#15,White (North American),English 
Want to Know a Secret,Fiction,Thriller ,Freida Mcfadden,https://www.barnesandnoble.com/b/books/_/N-1fZ29Z8q8 ,4 stars,01.02.2026,#16,White (North American),English 
The Housemaid,Fiction,Thriller ,Freida Mcfadden,https://www.barnesandnoble.com/b/books/_/N-1fZ29Z8q8 ,4.5 stars,21.04.2022,#17,White (North American),English 
Stripped Down Unfiltered and Unapologetic,Non- fiction ,Memoir,Bunnie Xo,https://www.barnesandnoble.com/b/books/_/N-1fZ29Z8q8 ,4.5 stars,01.04.2026,#18,White (North American),English 
Diary of a Wimpy Kid Partypooper ,Fiction,Other,Jeff Kinney,https://www.barnesandnoble.com/b/books/_/N-1fZ29Z8q8 ,4.5 stars,21.10.2025,#19,White (North American),English 
Game Changer ,Fiction,Romance,Rachel Reid,https://www.barnesandnoble.com/b/books/_/N-1fZ29Z8q8 ,4 stars,25.0.3.2019,#20,White (North American),English 
"Jujutsu Kaisen, Vol. 29",Fiction,Fantasy, Gege Akutami,https://www.barnesandnoble.com/b/books/_/N-1fZ29Z8q8 ,4 stars,17.02.2026,#21,East Asian ,English 
Just Friends A Novel,Fiction,Fantasy, Haley Pham,https://www.barnesandnoble.com/b/books/_/N-1fZ29Z8q8 ,3.5 stars,03.03.2026,#22,Southeast Asian,English 
"Chainsaw Man, Vol. 20",Fiction,Fantasy, Tatsuki Fujimoto,https://www.barnesandnoble.com/b/books/_/N-1fZ29Z8q8 ,4 stars,09.04.2026,#23,East Asian ,English 
Red Rising (Red Rising Series #1),Fiction,Sci-fi, Pierce Brown,https://www.barnesandnoble.com/b/books/_/N-1fZ29Z8q8 ,4 stars,28.01.2014,#24,White (North American),English 
The Crossroads (Joe Pickett Series #26),Fiction,Thriller , C. J. Box,https://www.barnesandnoble.com/b/books/_/N-1fZ29Z8q8 ,4.5 stars,24.02.2026,#25,White (North American),English 
This Will Be Fun A Novel,Fiction,Fantasy, E. B. Asher,https://www.barnesandnoble.com/b/books/_/N-1fZ29Z8q8 ,3.5 stars,29.10.2024,#26,White (North American),English 
For the Fans! (KPop Demon Hunters),Fiction,Childrens," Angela Song (Adapted by), Golden Books (Illustrator)",https://www.barnesandnoble.com/b/books/_/N-1fZ29Z8q8 ,3 stars,30.12.2025,#27,East Asian ,English 
I Am Rebel ,Fiction,Other, Ross Montgomery,https://www.barnesandnoble.com/b/books/_/N-1fZ29Z8q8 ,4 stars,06.06.2024,#28,Western/Northern European,English 
Dear Debbie,Fiction,Thriller , Freida McFadden,https://www.barnesandnoble.com/b/books/_/N-1fZ29Z8q8 ,4 stars,27.01.2026,#29,White (North American),English 
"And Now, Back to You",Fiction,Romance, B.K. Borison,https://www.barnesandnoble.com/b/books/_/N-1fZ29Z8q88 ,4 stars,24.02.2026,#30,Unknown,English 
Cross and Sampson,Fiction,Thriller ," James Patterson, Brian Sitts",https://www.barnesandnoble.com/b/books/_/N-1fZ29Z8q8 ,4 stars,29.01.2026,#31,White (North American),English 
Mona's Eyes ,Fiction,Lit-Fic," Thomas Schlesser, Hildegarde Serle (Translator)",https://www.barnesandnoble.com/b/books/_/N-1fZ29Z8q8 ,3.5 stars,31.01.2024,#32,Western/Northern European,English 
Atomic Habits,Non- fiction ,Self Help, James Clear,https://www.barnesandnoble.com/b/books/_/N-1fZ29Z8q8 ,4.5 stars,18.10.2018,#33,Western/Northern European,English 
Cozy Friends,Non- fiction ,Other,Coco Wyo,https://www.barnesandnoble.com/b/books/_/N-1fZ29Z8q8 ,4.5 stars,22.05.2024,#34,Southeast Asian,English 
A Killing Cold A Novel,Fiction,Thriller , Kate Alice Marshall,https://www.barnesandnoble.com/b/books/_/N-1fZ29Z8q8 ,4 stars,04.02.2025,#35,White (North American),English 
Carl's Doomsday Scenario,Fiction,Sci-fi, Matt Dinniman,https://www.barnesandnoble.com/b/books/_/N-1fZ29Z8q8 ,4.5 stars,06.01.2021,#36,Western/Northern European,English 
The Fox Hunt A Novel,Fiction,Lit-Fic, Caitlin Breeze,https://www.barnesandnoble.com/b/books/_/N-1fZ29Z8q8 ,3.5 stars,24.02.2026,#37,Western/Northern European,English 
Murdle Volume 1,Non- fiction ,Other,G. T. Karber,https://www.barnesandnoble.com/b/books/_/N-1fZ29Z8q8 ,4.5 stars,01.01.2023,#38,White (North American),English 
Game On,Fiction,Romance, Navessa Allen,https://www.barnesandnoble.com/b/books/_/N-1fZ29Z8q8 ,4 stars,31.03.2026,#39,Unknown,English 
In Her Own League,Fiction,Romance," Liz Tomforde",https://www.barnesandnoble.com/b/books/_/N-1fZ29Z8q8 ,4.5 stars,03.03.2026,#40,White (North American),English 
Cozy Corner,Non- fiction ,Other, Coco Wyo,https://www.barnesandnoble.com/b/books/_/N-1fZ29Z8q8 ,5 stars,27.01.2026,#41,Southeast Asian,English 
Big Jim Believes ,Fiction,Childrens,Dav Pilkey,https://www.barnesandnoble.com/b/books/_/N-1fZ29Z8q8 ,4.5 stars,11.11.2025,#42,White (North American),English 
Lights Out ,Fiction,Romance,Navessa Allen ,https://www.barnesandnoble.com/b/books/_/N-1fZ29Z8q8 ,4 stars,14.02.2024,#43,Unknown,English 
"The Savage, Noble Death of Babs Dionnei",Fiction,Thriller , Ron Currie,https://www.barnesandnoble.com/b/books/_/N-1fZ29Z8q8 ,4 stars,25.03.2025,#44,White (North American),English 
Green Eggs and Ham Deluxe,Fiction,Childrens, Dr. Seuss,https://www.barnesandnoble.com/b/books/_/N-1fZ29Z8q8 ,4.5 stars,31.02.2026,#45,Western/Northern European,English 
Operation Bounce House,Fiction,Sci-fi, Matt Dinniman,https://www.barnesandnoble.com/b/books/_/N-1fZ29Z8q8 ,4 stars,10.02.2026,#46,White (North American),English 
Mistakes Were Made,Fiction,Romance, Lucy Score,https://www.barnesandnoble.com/b/books/_/N-1fZ29Z8q8 ,4 stars,10.03.2026,#47,White (North American),English 
Reminders of Him,Fiction,Romance,Colleen Hoover,https://www.barnesandnoble.com/b/books/_/N-1fZ29Z8q8 ,4.5 stars,18.01.2022,#48,White (North American),English 
The Dungeon Anarchist's Cookbook,Fiction,Sci-fi, Matt Dinniman,https://www.barnesandnoble.com/b/books/_/N-1fZ29Z8q8 ,4.5 stars,19.03.2021,#49,White (North American),English 
Woman Down A Novel,Fiction,Thriller ,Colleen Hoover,https://www.barnesandnoble.com/b/books/_/N-1fZ29Z8q8 ,3.5 stars,13.01.2026,#50,White (North American),English 
